Sentence,Labels
don't use toilets,Health
are god's mistakes,Mistreatment
are weak and can be cotrolled,Social status
is only about hurting people,"Crime, Morality"
makes you stupid,Ability
are stupid animals,Ability
are disenfranchised,Social status
matters supporters are stupid,Ability
belong in basements,"Financial status, Mistreatment"
that have abortions are a joke,Family & relationship
are sexually dangerous,Family & relationship
are incapable of peaceful protests,Ability
jokes about the haulocost,Belief
are problem children,Personality
making deaths of africans/ seem like good news,"Morality, Belief"
have no food and would chase a food truck,"Financial status, Morality"
shouldn't have special accommodations,Mistreatment
kill out of hate,"Crime, Belief"
with even half a brain are an anomaly,Health
always struggle with suicide,Health
to be killed,Mistreatment
believe in a false idea of virginity,"Belief, Family & relationship"
get caught by the police if they are slow,Crime
aren't active players,Ability
can do whatever they want to their wives,"Morality, Family & relationship"
just see men as a paycheck,"Morality, Family & relationship"
do not use protection for sex,Family & relationship
are as fat as sidewalks,Appearance
"like to have anal sex, so poo will be on the condoms",Family & relationship
is better off without a new black baby,Belief
are cirminals,Crime
don't understand something unless you use physical force,"Mistreatment, Ability"
are potheads,"Crime, Morality, Health"
deny responsibility for wrongdoings,"Personality, Morality"
with mental disabilities need batteries,"Mistreatment, Health"
are violent against animals,"Crime, Morality"
only have service/janitorial jobs,Social status
need to put a bag over an ugly women's face to have sex with her,"Appearance, Family & relationship"
are objects or not worth being loved,Mistreatment
work in a chain gang,"Crime, Morality"
cripples you,Crime
in wheelchairs can't enjoy trampolines,Health
negotiate price on everything,"Financial status, Personality"
suck,Swear words
love to cause pain,"Crime, Morality, Belief"
are to be shot with semen,Family & relationship
are poor providers,Financial status
are decrepit,Health
are unwelcome and won't go home,Family & relationship
in mexico are physically unfit,Health
are surrounded by bullet holes,Mistreatment
are witches,"Belief, Culture"
eat dirt,Personality
always are concerned with bills,Financial status
should accept abortion jokes,Belief
are vicitms of psychos,Mistreatment
don't get saved during disasters,Mistreatment
are sometimes forced into electric shock therapy to cure them of being gay,Mistreatment
"should be ""fixed"" with conversion therapy",Mistreatment
won't work unless you abuse them,Mistreatment
"are lazy, you should abuse them","Mistreatment, Personality"
may be unable to speak coherently,Ability
are preyed upon by adult men,Mistreatment
are sexually pure,Family & relationship
are janitors,Social status
can't get tattoos because of the color of their skin,Appearance
bought the holocaust on themselves,"Mistreatment, Morality"
have more health problems later in life,Health
isn't open to change,Personality
had masters who worked and abused them,Mistreatment
don't function,Ability
buy black,Morality
with disabilities should be smoked,"Mistreatment, Health"
do attacks,Crime
is hot or okay,Appearance
have been in priests beds,Family & relationship
will take extreme actions,"Personality, Morality"
are lacking in body parts,Health
circumcise their sons,"Morality, Culture"
can be assualted,Mistreatment
should be subjugated,Mistreatment
and chimneys are funny because of the holocaust,Mistreatment
lost their land,"Social status, Mistreatment"
aren't worth carrying about,Mistreatment
leaves them,Mistreatment
disrespect laws,Crime
can't form their own opinons,Ability
shouldn't have opinons,Mistreatment
aren't good singers,Ability
should not do physically demanding jobs,Ability
shouldn't be in a enforcement job,Ability
are all underqualified,Ability
always keep people waiting,Personality
can't propose,Ability
want men to read their minds,Personality
expect you to be a mind reader,Personality
should drive off of cliffs,Mistreatment
was not a serious matter,Personality
have total control of their wives,"Morality, Family & relationship"
should be cheap,Social status
would harm themselves for money,"Financial status, Personality, Health"
happen due to mental illness,Health
cannot control when they have a seizure,Health
don't get nominated for oscars and complain,Mistreatment
don't get nominated for bet awards,Mistreatment
are best when they aren't around,Mistreatment
presumes all black people are guilty,Belief
"speak in ""ebonics""",Culture
is incapable of normal mental functions,"Ability, Health"
makes light of the crucifixion,Belief
marginalizes christiany as a whole,"Belief, Culture"
engages in robbery,Crime
is composed of criminals,Crime
have an evil religiion,Belief
can't win decathlons,Ability
are kept away by jobs,Financial status
