Sentence,Antonym,Labels
need to stop coming here, do not need to stop coming here,"Belief, Mistreatment"
are car jackers, are car helpers,Crime
underestimate the intelligence of others, overestimate the intelligence of others,Personality
in africa can't build housing," In Africa, it is possible to build housing","Belief, Ability"
should be limited, should be expanded,"Mistreatment, Social status"
bring trash where they go, bring beauty and cleanliness where they go,"Morality, Social status"
move in big groups, move in small groups,Culture
are incapable of being innovative, are highly capable of being innovative,Ability
are unorganized, are organized,Ability
is unworthy of being emulated, is worthy of being emulated,Social status
are mud people, are elegant and refined individuals,"Ability, Swear words, Social status, Appearance"
believe in fake education, value authentic education,"Belief, Ability, Personality"
control education, empower education,"Crime, Morality"
steal jobs from americans, create jobs for Americans,Social status
jewish people use others, Jewish people help and support others,Morality
support slaughter, oppose the killing of animals for meat,"Crime, Morality, Belief"
want to entice minors, seek to protect minors,Morality
are child preditors, are child protectors,"Crime, Morality"
are trying to have sex with young girls, are respectfully engaging in consensual sexual activity with young women,"Family & relationship, Crime, Morality"
try to lure young girls, seek to protect young girls,"Family & relationship, Crime, Morality, Social status, Personality"
is backwards since black people now run things, is progressive as people of all races are now equal and have equal opportunities,"Ability, Belief, Swear words, Social status"
can't be irish, can be Irish,Social status
are sand people, are kind people,"Ability, Swear words, Social status, Appearance"
only support token minority members, actively support all members regardless of their identity,"Family & relationship, Belief"
